Id,Name,Surname,Initials,Age,DateOfBirth
1,John,Pillay,J,69,21/03/1956
2,Michael,Pillay,M,33,27/01/1992
3,Jean-Luc,Naidoo,J,62,28/11/1962
4,Maria,Mahlangu,M,26,17/04/1999
5,Sarah,Khumalo,S,68,11/12/1956
6,Maria,Jacobs,M,46,28/09/1979
7,Sarah,Steyn,S,60,06/11/1965
8,Emma,Dlamini,E,38,27/04/1987
9,Anna Maria,Mokoena,AM,33,10/12/1991
10,Maria,Steyn,M,25,28/03/2000
11,Sarah,Botha,S,37,26/11/1987
12,Chloe,Botha,C,34,17/07/1991
13,Mary Anne,Mokoena,MA,24,09/02/2001
14,Jean-Luc,Ndlovu,J,78,28/08/1947
15,David,Zulu,D,32,09/09/1993
16,James,Adams,J,68,04/05/1957
17,Emily,Petersen,E,68,20/01/1957
18,David,Mokoena,D,28,07/07/1997
19,Juan Carlos,Coetzee,JC,48,22/08/1977
20,Maria,Ndlovu,M,79,23/04/1946
21,Sarah,Mahlangu,S,20,22/04/2005
22,Jean-Luc,Mokoena,J,54,21/10/1971
23,Daniel,Steyn,D,25,10/11/1999
24,Grace,Adams,G,27,13/06/1998
25,Mary Anne,Khumalo,MA,66,10/03/1959
26,Grace,Botha,G,34,18/10/1991
27,Christopher,Ndlovu,C,66,14/03/1959
28,Mary Anne,van der Merwe,MA,71,20/08/1954
29,Michael,Ndlovu,M,63,09/05/1962
30,Daniel,Petersen,D,70,02/01/1955
31,Juan Carlos,Nkosi,JC,53,04/05/1972
32,Grace,Botha,G,68,21/10/1957
33,Anna Maria,Khumalo,AM,49,18/11/1975
34,Michael,Petersen,M,80,23/01/1945
35,Daniel,Naidoo,D,56,15/05/1969
36,David,van der Merwe,D,75,04/03/1950
37,Christopher,Mthembu,C,63,05/12/1961
38,Maria,Mthembu,M,79,03/11/1946
39,Grace,Ndlovu,G,64,25/10/1961
40,Daniel,Coetzee,D,79,12/11/1945
41,Emily,Khumalo,E,78,10/08/1947
42,David,Pillay,D,58,04/03/1967
43,David,Nkosi,D,43,26/03/1982
44,Maria,Pillay,M,48,13/07/1977
45,John,Coetzee,J,70,16/04/1955
46,Maria,Ndlovu,M,49,05/11/1976
47,Michael,Williams,M,74,10/04/1951
48,James,Steyn,J,44,03/09/1981
49,Mary Anne,Ndlovu,MA,77,18/04/1948
50,Maria,van der Merwe,M,34,29/04/1991
51,James,Khumalo,J,42,01/04/1983
52,Olivia,de Villiers,O,60,09/11/1964
53,David,Mahlangu,D,71,20/05/1954
54,Emily,van der Merwe,E,51,17/12/1973
55,Olivia,Jacobs,O,50,17/06/1975
56,David,Ndlovu,D,60,22/01/1965
57,Emma,Mahlangu,E,76,15/08/1949
58,David,Khumalo,D,23,10/04/2002
59,Emma,Dlamini,E,51,28/07/1974
60,Anna Maria Teresa,Pillay,AMT,39,02/10/1986
61,Christopher,Nkosi,C,29,01/06/1996
62,Olivia,Petersen,O,70,19/04/1955
63,Maria,Nkosi,M,49,17/07/1976
64,Christopher,Mahlangu,C,70,01/05/1955
65,David,de Villiers,D,44,26/10/1981
66,Anna Maria,Zulu,AM,24,04/10/2001
67,Daniel,Mokoena,D,73,09/12/1951
68,Anna Maria Teresa,Dlamini,AMT,57,21/12/1967
69,Mary Anne,Coetzee,MA,79,12/06/1946
70,Anna Maria,Dlamini,AM,32,23/08/1993
71,Emily,Petersen,E,21,05/05/2004
72,Jean-Luc,Adams,J,63,10/10/1962
73,Grace,Petersen,G,61,03/10/1964
74,Michael,Ndlovu,M,36,10/09/1989
75,Anna Maria Teresa,Williams,AMT,78,11/01/1947
76,Chloe,Khumalo,C,19,08/01/2006
77,Anna Maria Teresa,Coetzee,AMT,24,15/09/2001
78,Anna Maria Teresa,Petersen,AMT,43,15/09/1982
79,Chloe,van der Merwe,C,73,06/02/1952
80,Anna Maria,Coetzee,AM,45,30/10/1980
81,Anna Maria,Adams,AM,79,02/02/1946
82,Maria,Naidoo,M,79,29/11/1945
83,Christopher,Nkosi,C,44,23/02/1981
84,John,de Villiers,J,41,15/05/1984
85,Emma,Jacobs,E,19,06/02/2006
86,David,Botha,D,46,20/03/1979
87,Anna Maria Teresa,Adams,AMT,63,23/12/1961
88,Olivia,Pillay,O,56,08/01/1969
89,Grace,Mthembu,G,65,15/01/1960
90,Mary Anne,de Villiers,MA,45,22/02/1980
91,Christopher,Mthembu,C,57,18/07/1968
92,James,Williams,J,62,29/10/1963
93,Sophia,Botha,S,70,01/04/1955
94,Christopher,Naidoo,C,25,08/07/2000
95,Juan Carlos,Botha,JC,51,27/02/1974
96,Maria,Mahlangu,M,24,21/07/2001
97,Sophia,Mthembu,S,78,02/08/1947
98,Jean-Luc,Mthembu,J,25,29/12/1999
99,Emily,Jacobs,E,31,07/11/1993
100,Emily,de Villiers,E,49,03/12/1975
