Id,Name,Surname,Initials,Age,DateOfBirth
1,Michael,Adams,M,33,14/11/1991
2,Sophia,Adams,S,38,17/07/1987
3,Grace,Zulu,G,34,26/12/1990
4,John,Steyn,J,68,20/10/1957
5,Olivia,Mokoena,O,71,14/06/1954
6,Jean-Luc,Mokoena,J,62,05/01/1963
7,Juan Carlos,Mokoena,JC,25,01/12/1999
8,Jean-Luc,Steyn,J,38,25/12/1986
9,Grace,Jacobs,G,39,06/06/1986
10,Maria,Ndlovu,M,60,21/10/1965
11,Liam,Jacobs,L,30,20/07/1995
12,Anna Maria,Williams,AM,40,26/12/1984
13,Olivia,Mokoena,O,73,13/10/1952
14,David,de Villiers,D,60,14/03/1965
15,Anna Maria Teresa,Adams,AMT,18,24/09/2007
16,Maria,Pillay,M,72,08/11/1952
17,Michael,Mthembu,M,22,17/08/2003
18,Emma,Dlamini,E,79,11/07/1946
19,Anna Maria,van der Merwe,AM,69,06/01/1956
20,Sophia,Williams,S,77,18/05/1948
21,Grace,Pillay,G,58,27/06/1967
22,Christopher,Mthembu,C,35,28/05/1990
23,Emily,Coetzee,E,75,11/05/1950
24,Mary Anne,Jacobs,MA,24,28/08/2001
25,Maria,Nkosi,M,65,03/04/1960
26,David,Ndlovu,D,23,12/09/2002
27,Emma,Mokoena,E,34,19/08/1991
28,Emily,Jacobs,E,39,14/10/1986
29,Sarah,Jacobs,S,69,23/03/1956
30,Grace,Pillay,G,37,26/05/1988
31,John,Mokoena,J,49,25/04/1976
32,Mary Anne,de Villiers,MA,54,21/01/1971
33,David,van der Merwe,D,28,13/06/1997
34,Christopher,Ndlovu,C,23,01/09/2002
35,Liam,Steyn,L,53,30/04/1972
36,Jean-Luc,Adams,J,43,06/03/1982
37,James,Botha,J,44,05/07/1981
38,Sophia,Dlamini,S,72,03/07/1953
39,Anna Maria,Pillay,AM,52,28/07/1973
40,Juan Carlos,Mokoena,JC,61,31/01/1964
41,Emma,Jacobs,E,46,02/08/1979
42,Anna Maria,Mahlangu,AM,40,08/12/1984
43,Christopher,Ndlovu,C,43,19/06/1982
44,James,Adams,J,71,25/04/1954
45,Chloe,Dlamini,C,25,15/04/2000
46,Emma,Mahlangu,E,72,02/03/1953
47,Anna Maria Teresa,Naidoo,AMT,66,20/07/1959
48,Sophia,Steyn,S,36,04/04/1989
49,John,Dlamini,J,21,28/06/2004
50,Anna Maria,de Villiers,AM,78,20/03/1947
51,Christopher,van der Merwe,C,23,16/08/2002
52,Chloe,Botha,C,64,04/05/1961
53,Maria,Botha,M,48,07/03/1977
54,Anna Maria Teresa,Mokoena,AMT,23,29/11/2001
55,Jean-Luc,Jacobs,J,27,07/08/1998
56,Anna Maria Teresa,Jacobs,AMT,68,08/09/1957
57,David,Coetzee,D,46,28/05/1979
58,Anna Maria,Botha,AM,23,05/05/2002
59,Liam,Sithole,L,37,16/03/1988
60,Emily,Mokoena,E,70,08/10/1955
61,David,Mahlangu,D,34,08/02/1991
62,David,Petersen,D,25,10/07/2000
63,Anna Maria Teresa,Williams,AMT,19,03/03/2006
64,Maria,Mthembu,M,33,15/10/1992
65,Emma,Coetzee,E,62,11/03/1963
66,Michael,Coetzee,M,56,10/11/1968
67,Maria,Ndlovu,M,35,21/06/1990
68,Juan Carlos,Coetzee,JC,56,06/10/1969
69,Daniel,Williams,D,47,09/12/1977
70,Anna Maria Teresa,Nkosi,AMT,55,18/04/1970
71,Grace,Botha,G,71,02/10/1954
72,Grace,de Villiers,G,74,15/11/1950
73,Maria,Petersen,M,18,16/05/2007
74,Jean-Luc,Naidoo,J,48,01/09/1977
75,Chloe,Petersen,C,34,10/04/1991
76,Grace,de Villiers,G,30,12/04/1995
77,John,Ndlovu,J,30,14/11/1994
78,Christopher,Adams,C,22,14/12/2002
79,John,Mahlangu,J,79,29/09/1946
80,Chloe,Williams,C,37,19/08/1988
81,Juan Carlos,Mokoena,JC,59,14/07/1966
82,Jean-Luc,Sithole,J,42,07/11/1982
83,Jean-Luc,Sithole,J,72,02/06/1953
84,Mary Anne,Williams,MA,55,21/01/1970
85,Liam,Adams,L,35,21/11/1989
86,David,Coetzee,D,71,28/12/1953
87,Jean-Luc,Mokoena,J,24,20/01/2001
88,Jean-Luc,Mokoena,J,18,17/11/2006
89,Olivia,van der Merwe,O,79,03/08/1946
90,Mary Anne,Naidoo,MA,21,28/01/2004
91,Liam,Petersen,L,32,17/08/1993
92,Mary Anne,de Villiers,MA,24,18/02/2001
93,James,Mahlangu,J,29,02/03/1996
94,Christopher,Dlamini,C,59,23/07/1966
95,Emily,Dlamini,E,34,24/04/1991
96,Chloe,van der Merwe,C,50,07/02/1975
97,Sophia,Khumalo,S,74,12/08/1951
98,Daniel,Adams,D,31,19/12/1993
99,Sarah,van der Merwe,S,20,27/02/2005
100,Anna Maria Teresa,Sithole,AMT,28,28/07/1997
