Id,Name,Surname,Initials,Age,DateOfBirth
1,Michael,Mahlangu,M,60,22/05/1965
2,Christopher,Williams,C,80,23/07/1945
3,Liam,van der Merwe,L,22,04/01/2003
4,Anna Maria Teresa,Coetzee,AMT,70,03/04/1955
5,Emily,Dlamini,E,54,28/07/1971
6,Emma,Mthembu,E,39,11/03/1986
7,Daniel,Jacobs,D,28,18/03/1997
8,David,Sithole,D,78,09/07/1947
9,Anna Maria,Steyn,AM,35,02/03/1990
10,Maria,Pillay,M,61,28/04/1964
11,Maria,Mthembu,M,65,10/06/1960
12,Grace,Khumalo,G,72,09/11/1952
13,Sophia,de Villiers,S,59,24/04/1966
14,Liam,de Villiers,L,48,14/11/1976
15,Juan Carlos,van der Merwe,JC,62,01/11/1963
16,Sophia,de Villiers,S,22,21/02/2003
17,Liam,Jacobs,L,72,19/10/1953
18,John,Steyn,J,29,02/09/1996
19,Chloe,Zulu,C,72,16/10/1953
20,Christopher,Mokoena,C,59,16/11/1965
21,David,Steyn,D,19,29/05/2006
22,Christopher,Naidoo,C,75,24/10/1950
23,Olivia,Williams,O,41,09/08/1984
24,Liam,de Villiers,L,48,13/12/1976
25,Anna Maria Teresa,Botha,AMT,43,19/03/1982
26,Emily,Zulu,E,61,27/10/1964
27,Daniel,Naidoo,D,30,09/12/1994
28,John,Mthembu,J,19,18/06/2006
29,Anna Maria,Zulu,AM,71,02/10/1954
30,Emma,Naidoo,E,73,02/01/1952
31,Christopher,Zulu,C,39,17/11/1985
32,Emma,Naidoo,E,46,05/01/1979
33,Michael,Petersen,M,71,19/02/1954
34,Grace,Petersen,G,37,21/04/1988
35,Chloe,Botha,C,41,25/07/1984
36,Christopher,de Villiers,C,65,31/08/1960
37,Christopher,van der Merwe,C,72,26/09/1953
38,Chloe,Sithole,C,31,14/09/1994
39,Anna Maria Teresa,de Villiers,AMT,64,18/01/1961
40,Emma,Jacobs,E,48,13/03/1977
41,Maria,Zulu,M,31,01/01/1994
42,Chloe,Khumalo,C,23,02/07/2002
43,Sarah,Adams,S,41,01/04/1984
44,David,Williams,D,71,08/11/1953
45,James,Botha,J,60,26/09/1965
46,Sophia,Zulu,S,57,29/02/1968
47,Sarah,Sithole,S,53,04/03/1972
48,Daniel,de Villiers,D,57,22/02/1968
49,Olivia,Williams,O,32,10/12/1992
50,Maria,Pillay,M,49,09/10/1976
51,Jean-Luc,Coetzee,J,46,08/11/1978
52,Juan Carlos,Steyn,JC,24,24/02/2001
53,Anna Maria,Dlamini,AM,34,08/12/1990
54,James,Mokoena,J,49,27/09/1976
55,Michael,Jacobs,M,61,10/06/1964
56,Michael,Botha,M,26,27/08/1999
57,Olivia,Khumalo,O,35,20/12/1989
58,Mary Anne,Coetzee,MA,49,15/11/1975
59,Sophia,Coetzee,S,40,02/09/1985
60,Maria,Dlamini,M,66,26/05/1959
61,Mary Anne,de Villiers,MA,29,18/03/1996
62,Michael,Naidoo,M,72,08/12/1952
63,Liam,Sithole,L,47,28/04/1978
64,Olivia,Williams,O,47,23/07/1978
65,Sarah,Mthembu,S,28,07/07/1997
66,Olivia,van der Merwe,O,33,14/03/1992
67,Grace,Mokoena,G,67,17/05/1958
68,Olivia,Petersen,O,60,10/06/1965
69,Christopher,Botha,C,64,16/09/1961
70,Sarah,van der Merwe,S,35,29/10/1990
71,Emma,Botha,E,23,01/05/2002
72,Mary Anne,Petersen,MA,65,24/01/1960
73,Christopher,Dlamini,C,68,13/10/1957
74,John,Pillay,J,60,03/01/1965
75,Anna Maria Teresa,Pillay,AMT,75,12/09/1950
76,Michael,de Villiers,M,25,14/04/2000
77,John,Naidoo,J,28,11/06/1997
78,David,van der Merwe,D,68,15/02/1957
79,Jean-Luc,Khumalo,J,21,22/10/2004
80,David,Pillay,D,19,20/02/2006
81,Anna Maria,Mahlangu,AM,62,11/12/1962
82,Sarah,Naidoo,S,44,06/12/1980
83,Michael,van der Merwe,M,56,10/02/1969
84,Anna Maria,Petersen,AM,32,15/06/1993
85,Olivia,Pillay,O,61,19/01/1964
86,Emily,Zulu,E,26,27/02/1999
87,John,Steyn,J,69,14/01/1956
88,Liam,Williams,L,24,07/07/2001
89,Juan Carlos,Mthembu,JC,39,26/08/1986
90,David,Dlamini,D,70,24/08/1955
91,Christopher,de Villiers,C,58,15/12/1966
92,Christopher,Steyn,C,26,19/08/1999
93,Daniel,Khumalo,D,79,06/03/1946
94,John,Mahlangu,J,48,24/09/1977
95,David,Sithole,D,32,15/06/1993
96,Anna Maria Teresa,Dlamini,AMT,31,05/09/1994
97,Maria,Steyn,M,31,04/05/1994
98,James,Ndlovu,J,47,04/11/1978
99,Olivia,Steyn,O,75,03/07/1950
100,James,Dlamini,J,73,18/01/1952
