Id,Name,Surname,Initials,Age,DateOfBirth
1,Anna Maria,Steyn,AM,35,19/03/1990
2,Liam,de Villiers,L,28,16/08/1997
3,Anna Maria Teresa,Ndlovu,AMT,35,21/07/1990
4,Mary Anne,Coetzee,MA,23,02/05/2002
5,Jean-Luc,Mahlangu,J,77,10/07/1948
6,Daniel,Zulu,D,39,14/04/1986
7,Michael,Jacobs,M,65,19/12/1959
8,Anna Maria Teresa,Ndlovu,AMT,56,21/03/1969
9,Daniel,Sithole,D,44,28/10/1981
10,Sophia,Naidoo,S,67,13/11/1957
11,Anna Maria Teresa,Steyn,AMT,48,03/04/1977
12,Emma,Coetzee,E,62,19/09/1963
13,Daniel,Jacobs,D,31,29/03/1994
14,Maria,Mthembu,M,18,27/07/2007
15,Christopher,Pillay,C,64,04/08/1961
16,Emily,Williams,E,61,23/02/1964
17,Chloe,Khumalo,C,53,30/06/1972
18,Emily,Dlamini,E,75,13/01/1950
19,Emily,Sithole,E,29,19/05/1996
20,Anna Maria Teresa,Adams,AMT,22,12/04/2003
21,Mary Anne,Adams,MA,70,02/11/1955
22,Emily,Mahlangu,E,30,13/11/1994
23,Chloe,Jacobs,C,44,26/10/1981
24,Sarah,Zulu,S,80,13/01/1945
25,Anna Maria Teresa,de Villiers,AMT,76,11/02/1949
26,Sarah,Williams,S,31,02/02/1994
27,David,Steyn,D,20,11/09/2005
28,Mary Anne,Dlamini,MA,47,29/05/1978
29,James,Naidoo,J,54,11/06/1971
30,Liam,Nkosi,L,27,14/11/1997
31,John,Pillay,J,50,24/03/1975
32,Jean-Luc,Ndlovu,J,32,18/02/1993
33,Anna Maria,Ndlovu,AM,62,27/03/1963
34,Michael,Zulu,M,18,20/04/2007
35,Liam,Mokoena,L,33,03/05/1992
36,John,Zulu,J,47,21/04/1978
37,Liam,Williams,L,32,24/06/1993
38,Sophia,Mthembu,S,39,27/09/1986
39,Emily,de Villiers,E,21,24/03/2004
40,Chloe,van der Merwe,C,70,20/11/1954
41,John,Nkosi,J,79,27/04/1946
42,Liam,van der Merwe,L,23,02/09/2002
43,Jean-Luc,Coetzee,J,23,03/02/2002
44,Chloe,Zulu,C,32,11/12/1992
45,Emma,Sithole,E,31,04/02/1994
46,Chloe,Adams,C,46,11/10/1979
47,Emily,Pillay,E,65,29/05/1960
48,John,Mokoena,J,64,04/10/1961
49,Liam,van der Merwe,L,43,04/06/1982
50,Michael,Petersen,M,40,08/11/1984
51,David,Zulu,D,63,09/10/1962
52,Mary Anne,Khumalo,MA,60,11/06/1965
53,Maria,Adams,M,56,04/01/1969
54,Chloe,Petersen,C,38,06/02/1987
55,Chloe,Mahlangu,C,38,12/11/1986
56,Emily,Dlamini,E,27,28/10/1998
57,Daniel,Mahlangu,D,74,01/09/1951
58,Anna Maria,Khumalo,AM,79,28/08/1946
59,Juan Carlos,van der Merwe,JC,32,17/08/1993
60,Sarah,Mahlangu,S,27,07/02/1998
61,Chloe,Nkosi,C,27,24/09/1998
62,Liam,Pillay,L,79,23/06/1946
63,Michael,Coetzee,M,41,18/04/1984
64,Maria,Mthembu,M,57,28/08/1968
65,David,Mahlangu,D,33,04/05/1992
66,Emma,Jacobs,E,51,11/04/1974
67,Olivia,Petersen,O,78,18/07/1947
68,Anna Maria Teresa,Petersen,AMT,61,21/04/1964
69,Mary Anne,Zulu,MA,37,03/05/1988
70,Emily,Mthembu,E,71,10/08/1954
71,Michael,Naidoo,M,40,21/01/1985
72,Juan Carlos,Sithole,JC,76,02/12/1948
73,Juan Carlos,Naidoo,JC,78,01/06/1947
74,Chloe,Botha,C,22,11/09/2003
75,Chloe,Khumalo,C,26,21/04/1999
76,Juan Carlos,Adams,JC,56,02/12/1968
77,Mary Anne,Coetzee,MA,39,06/07/1986
78,Emily,Jacobs,E,50,31/10/1975
79,Daniel,Naidoo,D,76,09/02/1949
80,Jean-Luc,Zulu,J,49,17/01/1976
81,Emma,Coetzee,E,38,07/10/1987
82,Liam,Botha,L,42,23/07/1983
83,Daniel,Botha,D,19,22/01/2006
84,Anna Maria,Zulu,AM,55,30/10/1970
85,Jean-Luc,Pillay,J,76,17/05/1949
86,Emma,Williams,E,56,24/08/1969
87,Maria,Adams,M,54,29/04/1971
88,Olivia,Sithole,O,60,12/12/1964
89,Mary Anne,Khumalo,MA,47,23/11/1977
90,Mary Anne,Mahlangu,MA,63,16/01/1962
91,Anna Maria,Williams,AM,39,05/12/1985
92,Emily,Naidoo,E,25,23/04/2000
93,Mary Anne,Jacobs,MA,67,22/07/1958
94,Mary Anne,de Villiers,MA,52,26/01/1973
95,Michael,Petersen,M,76,28/12/1948
96,Liam,Coetzee,L,50,21/02/1975
97,Jean-Luc,Sithole,J,38,25/09/1987
98,Michael,Ndlovu,M,19,01/07/2006
99,Liam,de Villiers,L,75,18/10/1950
100,James,van der Merwe,J,19,24/04/2006
